128,1.0
141,1.0
147,1.0
182,2.0
183,20.0
184,90.0
185,253.0
186,518.0
187,865.0
188,1307.0
189,1924.0
190,2910.0
191,4682.0
192,7905.0
193,13416.0
194,22225.0
195,35782.0
196,56287.0
197,86859.0
198,131944.0
199,198206.0
200,295479.0
201,437836.0
202,644384.0
203,940023.0
204,1355465.0
205,1926694.0
206,2695361.0
207,3710082.0
208,5026480.0
209,6704974.0
210,8804147.0
211,11371814.0
212,14435457.0
213,17995003.0
214,22019105.0
215,26443526.0
216,31171089.0
217,36070421.0
218,40975114.0
219,45691208.0
220,50015632.0
221,53759579.0
222,56764216.0
223,58906873.0
224,60104509.0
225,60324287.0
226,59602237.0
227,58056192.0
228,55872867.0
229,53263318.0
230,50405246.0
231,47400734.0
232,44268620.0
233,40972191.0
234,37466025.0
235,33739152.0
236,29836487.0
237,25853022.0
238,21908852.0
239,18121582.0
240,14591475.0
241,11401665.0
242,8622005.0
243,6304120.0
244,4467014.0
245,3084847.0
246,2089873.0
247,1392411.0
248,906574.0
249,567464.0
250,333699.0
251,179659.0
252,86210.0
253,35814.0
254,12439.0
255,3444.0
256,706.0
257,94.0
258,6.0
